Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,FM_score,Segment
12396,674,1,931.43,1,1,3,5,2,Hibernating
12397,35,2,2214.9,4,2,4,10,3,Potential Loyalists
12398,45,1,1435.6599999999999,4,1,4,9,2,Potential Loyalists
12399,119,7,1842.3,3,4,4,11,4,Loyal Customers
12400,414,1,205.25,1,1,1,3,1,Hibernating
12401,303,1,69.3,2,1,1,4,1,Hibernating
12402,323,6,1124.15,2,4,3,9,4,At Risk
12403,49,2,947.36,4,2,3,9,2,Potential Loyalists
12405,148,1,1390.39,3,1,4,8,2,About to Sleep
12406,22,5,6087.16,4,4,5,13,4,Loyal Customers
12407,49,5,1507.12,4,4,4,12,4,Loyal Customers
12408,32,8,3893.17,4,4,5,13,4,Loyal Customers
12409,78,4,23101.26,3,3,5,11,4,Loyal Customers
12410,308,3,773.71,2,3,3,8,3,At Risk
12411,409,1,346.9,1,1,2,4,2,Hibernating
12412,74,6,2404.93,3,4,4,11,4,Loyal Customers
12413,66,4,871.45,3,3,3,9,3,Need Attention
12414,217,4,442.40999999999997,2,3,2,7,2,Hibernating
12415,24,23,143214.52,4,5,5,14,5,Loyal Customers
12416,656,1,202.56,1,1,1,3,1,Hibernating
12417,3,20,5978.46,5,5,5,15,5,Champions
12418,112,4,2021.2,3,3,4,10,4,Loyal Customers
12419,385,2,391.01,2,2,2,6,2,Hibernating
12420,63,1,600.39,3,1,3,7,2,About to Sleep
12421,15,6,874.6,5,4,3,12,4,Champions
12422,95,12,3639.35,3,5,5,13,5,Loyal Customers
12423,0,10,2291.19,5,5,4,14,4,Champions
12424,162,4,3323.68,3,3,5,11,4,Loyal Customers
12425,78,2,1680.81,3,2,4,9,3,Need Attention
12426,194,2,1185.31,2,2,3,7,2,Hibernating
12427,21,3,639.32,4,3,3,10,3,Potential Loyalists
12428,25,8,6405.26,4,4,5,13,4,Loyal Customers
12429,9,8,5792.01,5,4,5,14,4,Champions
12430,43,1,216.4,4,1,1,6,1,Promising
12431,35,25,9995.76,4,5,5,14,5,Loyal Customers
12432,42,4,4359.32,4,3,5,12,4,Loyal Customers
12433,0,10,16794.14,5,5,5,15,5,Champions
12434,84,3,1080.28,3,3,3,9,3,Need Attention
12435,79,6,13925.93,3,4,5,12,4,Loyal Customers
12436,99,1,429.01,3,1,2,6,2,About to Sleep
12437,1,38,11128.4,5,5,5,15,5,Champions
12438,14,2,2466.85,5,2,4,11,3,Potential Loyalists
12439,682,2,1089.18,1,2,3,6,2,Hibernating
12440,462,2,648.15,1,2,3,6,2,Hibernating
12441,366,1,155.55,2,1,1,4,1,Hibernating
12442,3,1,144.06,5,1,1,7,1,New Customers
12443,732,1,365.31,1,1,2,4,2,Hibernating
12444,21,5,4085.46,4,4,5,13,4,Loyal Customers
12445,22,2,378.98,4,2,2,8,2,Potential Loyalists
12446,57,1,1002.3100000000001,4,1,3,8,2,Potential Loyalists
12447,243,1,431.49,2,1,2,5,2,Hibernating
12448,44,1,365.45,4,1,2,7,2,Potential Loyalists
12449,22,5,4274.89,4,4,5,13,4,Loyal Customers
12450,156,5,673.35,3,4,3,10,4,Loyal Customers
12451,10,8,12527.88,5,4,5,14,4,Champions
12452,16,1,348.57,5,1,2,8,2,Potential Loyalists
12453,134,1,707.09,3,1,3,7,2,About to Sleep
12454,416,1,4098.96,1,1,5,7,3,At Risk
12455,73,9,5722.95,3,5,5,13,5,Loyal Customers
12456,44,3,2581.04,4,3,4,11,4,Loyal Customers
12457,81,5,2180.56,3,4,4,11,4,Loyal Customers
12458,71,4,1502.49,3,3,4,10,4,Loyal Customers
12459,605,1,398.36,1,1,2,4,2,Hibernating
12460,456,1,296.65,1,1,2,4,2,Hibernating
12461,154,1,626.88,3,1,3,7,2,About to Sleep
12462,18,2,937.59,5,2,3,10,2,Potential Loyalists
12463,53,4,1180.98,4,3,3,10,3,Potential Loyalists
12464,10,8,957.05,5,4,3,12,4,Champions
12465,17,2,682.1899999999999,5,2,3,10,2,Potential Loyalists
12468,187,5,3238.74,2,4,5,11,4,At Risk
12469,522,2,3070.54,1,2,5,8,4,At Risk
12470,689,1,211.95,1,1,1,3,1,Hibernating
12471,2,71,34839.55,5,5,5,15,5,Champions
12472,32,19,14837.44,4,5,5,14,5,Loyal Customers
12473,53,3,2554.5299999999997,4,3,4,11,4,Loyal Customers
12474,17,29,11093.619999999999,5,5,5,15,5,Champions
12475,53,2,1065.64,4,2,3,9,2,Potential Loyalists
12476,15,17,12166.11,5,5,5,15,5,Champions
12477,22,9,20188.170000000002,4,5,5,14,5,Loyal Customers
12478,3,1,545.99,5,1,2,8,2,Potential Loyalists
12479,11,1,453.2,5,1,2,8,2,Potential Loyalists
12480,28,7,4820.0,4,4,5,13,4,Loyal Customers
12481,22,14,10915.61,4,5,5,14,5,Loyal Customers
12482,576,27,21941.72,1,5,5,11,5,Can't Lose Them
12483,17,18,4037.28,5,5,5,15,5,Champions
12484,35,9,5544.35,4,5,5,14,5,Loyal Customers
12485,529,1,708.1,1,1,3,5,2,Hibernating
12486,431,1,917.28,1,1,3,5,2,Hibernating
12487,730,1,285.3,1,1,2,4,2,Hibernating
12488,9,3,1244.66,5,3,4,12,4,Champions
12489,336,1,298.93,2,1,2,5,2,Hibernating
12490,5,20,8764.64,5,5,5,15,5,Champions
12491,38,1,424.40000000000003,4,1,2,7,2,Potential Loyalists
12492,63,3,607.21,3,3,3,9,3,Need Attention
12493,165,2,362.79,3,2,2,7,2,About to Sleep
12494,15,8,1489.67,5,4,4,13,4,Champions
12495,640,1,243.4,1,1,1,3,1,Hibernating
12496,620,2,45.34,1,2,1,4,2,Hibernating
12497,81,3,5996.5,3,3,5,11,4,Loyal Customers
12498,21,3,349.70000000000005,4,3,2,9,2,Potential Loyalists
12499,560,1,357.71999999999997,1,1,2,4,2,Hibernating
12500,23,18,5545.21,4,5,5,14,5,Loyal Customers
12501,336,1,1995.39,2,1,4,7,2,Hibernating
12502,95,5,2995.87,3,4,5,12,4,Loyal Customers
12503,584,1,896.0,1,1,3,5,2,Hibernating
12504,30,3,321.0,4,3,2,9,2,Potential Loyalists
12505,408,1,767.3,2,1,3,6,2,Hibernating
12506,232,1,73.5,2,1,1,4,1,Hibernating
12507,134,3,1461.31,3,3,4,10,4,Loyal Customers
12508,26,2,397.88,4,2,2,8,2,Potential Loyalists
12509,284,1,158.5,2,1,1,4,1,Hibernating
12510,142,7,3006.03,3,4,5,12,4,Loyal Customers
12511,428,1,3074.07,1,1,5,7,3,At Risk
12512,66,2,132.18,3,2,1,6,2,About to Sleep
12513,112,1,532.79,3,1,2,6,2,About to Sleep
12514,267,2,1597.76,2,2,4,8,3,At Risk
12515,353,1,278.7,2,1,1,4,1,Hibernating
12516,77,4,2288.62,3,3,4,10,4,Loyal Customers
12517,28,4,2281.8,4,3,4,11,4,Loyal Customers
12518,0,5,1840.89,5,4,4,13,4,Champions
12519,63,2,596.84,3,2,3,8,2,About to Sleep
12520,79,5,2294.5099999999998,3,4,4,11,4,Loyal Customers
12521,142,1,545.68,3,1,2,6,2,About to Sleep
12522,39,2,156.72,4,2,1,7,2,Potential Loyalists
12523,19,23,3915.0,5,5,5,15,5,Champions
12524,9,17,9759.36,5,5,5,15,5,Champions
12525,498,3,818.08,1,3,3,7,3,At Risk
12526,0,3,1172.66,5,3,3,11,3,Potential Loyalists
12527,81,5,717.51,3,4,3,10,4,Loyal Customers
12528,9,6,1645.48,5,4,4,13,4,Champions
12529,528,1,316.48,1,1,2,4,2,Hibernating
12530,59,9,3329.86,3,5,5,13,5,Loyal Customers
12531,14,2,1756.35,5,2,4,11,3,Potential Loyalists
12532,30,1,313.83000000000004,4,1,2,7,2,Potential Loyalists
12533,627,2,1075.24,1,2,3,6,2,Hibernating
12534,130,1,981.18,3,1,3,7,2,About to Sleep
12535,91,2,716.35,3,2,3,8,2,About to Sleep
12536,59,1,4163.98,3,1,5,9,3,Need Attention
12537,408,1,612.9399999999999,2,1,3,6,2,Hibernating
12538,29,2,640.45,4,2,3,9,2,Potential Loyalists
12539,22,7,11186.75,4,4,5,13,4,Loyal Customers
12540,19,32,19172.04,5,5,5,15,5,Champions
12541,29,3,841.18,4,3,3,10,3,Potential Loyalists
12542,484,2,443.33,1,2,2,5,2,Hibernating
12543,448,1,840.25,1,1,3,5,2,Hibernating
12544,36,1,316.7,4,1,2,7,2,Potential Loyalists
12545,75,2,832.39,3,2,3,8,2,About to Sleep
12546,46,2,1001.5,4,2,3,9,2,Potential Loyalists
12547,197,3,299.58,2,3,2,7,2,Hibernating
12548,166,1,67.19999999999999,3,1,1,5,1,About to Sleep
12549,575,5,1570.68,1,4,4,9,4,At Risk
12550,79,1,824.83,3,1,3,7,2,About to Sleep
12551,357,1,168.0,2,1,1,4,1,Hibernating
12552,39,1,317.82,4,1,2,7,2,Potential Loyalists
12553,8,11,4048.55,5,5,5,15,5,Champions
12554,448,1,384.5,1,1,2,4,2,Hibernating
12556,50,2,599.56,4,2,3,9,2,Potential Loyalists
12557,16,8,18096.14,5,4,5,14,4,Champions
12559,310,2,500.21000000000004,2,2,2,6,2,Hibernating
12560,5,2,1918.01,5,2,4,11,3,Potential Loyalists
12561,302,1,238.85,2,1,1,4,1,Hibernating
12562,8,9,4426.92,5,5,5,15,5,Champions
12563,408,1,221.24,2,1,1,4,1,Hibernating
12564,261,1,402.9,2,1,2,5,2,Hibernating
12565,288,1,145.92,2,1,1,4,1,Hibernating
12566,86,1,297.65,3,1,2,6,2,About to Sleep
12567,22,15,10425.44,4,5,5,14,5,Loyal Customers
12568,644,1,52.0,1,1,1,3,1,Hibernating
12569,2,32,3152.69,5,5,5,15,5,Champions
12571,39,2,519.61,4,2,2,8,2,Potential Loyalists
12572,8,2,912.42,5,2,3,10,2,Potential Loyalists
12573,227,5,717.41,2,4,3,9,4,At Risk
12574,315,1,182.45000000000002,2,1,1,4,1,Hibernating
12575,457,2,568.82,1,2,2,5,2,Hibernating
12576,35,8,2020.22,4,4,4,12,4,Loyal Customers
12577,35,8,1613.15,4,4,4,12,4,Loyal Customers
12578,21,4,4026.4500000000003,4,3,5,12,4,Loyal Customers
12579,78,1,374.72,3,1,2,6,2,About to Sleep
12580,246,2,962.9,2,2,3,7,2,Hibernating
12581,39,1,179.71,4,1,1,6,1,Promising
12582,238,4,1820.4,2,3,4,9,4,At Risk
12583,2,27,12432.74,5,5,5,15,5,Champions
12584,3,8,2041.2,5,4,4,13,4,Champions
12585,234,2,1824.1,2,2,4,8,3,At Risk
12586,17,4,2045.67,5,3,4,12,4,Champions
12587,7,1,104.0,5,1,1,7,1,New Customers
12588,39,3,703.93,4,3,3,10,3,Potential Loyalists
12589,28,6,2753.62,4,4,4,12,4,Loyal Customers
12590,211,1,9341.26,2,1,5,8,3,At Risk
12591,317,3,1114.95,2,3,3,8,3,At Risk
12592,92,4,1723.6399999999999,3,3,4,10,4,Loyal Customers
12593,108,3,382.09999999999997,3,3,2,8,2,About to Sleep
12594,37,14,4862.51,4,5,5,14,5,Loyal Customers
12595,504,1,281.02,1,1,1,3,1,Hibernating
12596,51,2,450.27,4,2,2,8,2,Potential Loyalists
12597,19,4,3096.22,5,3,5,13,4,Champions
12598,9,10,4151.37,5,5,5,15,5,Champions
12599,29,13,2026.72,4,5,4,13,4,Loyal Customers
12600,28,20,4385.85,4,5,5,14,5,Loyal Customers
12601,189,6,573.26,2,4,2,8,3,At Risk
12602,58,1,153.12,4,1,1,6,1,Promising
12603,21,1,613.1999999999999,4,1,3,8,2,Potential Loyalists
12604,79,2,236.18,3,2,1,6,2,About to Sleep
12605,376,3,1124.95,2,3,3,8,3,At Risk
12608,404,1,415.79,2,1,2,5,2,Hibernating
12609,78,9,3021.86,3,5,5,13,5,Loyal Customers
12610,22,4,1714.24,4,3,4,11,4,Loyal Customers
12611,52,1,1193.32,4,1,3,8,2,Potential Loyalists
12612,74,1,668.04,3,1,3,7,2,About to Sleep
12613,57,9,6145.82,4,5,5,14,5,Loyal Customers
12614,277,1,315.6,2,1,2,5,2,Hibernating
12615,2,8,5227.63,5,4,5,14,4,Champions
12616,95,3,993.4,3,3,3,9,3,Need Attention
12617,29,1,352.98,4,1,2,7,2,Potential Loyalists
12618,21,1,137.31,4,1,1,6,1,Promising
12619,16,9,3052.7,5,5,5,15,5,Champions
12620,14,3,1303.41,5,3,4,12,4,Champions
12621,1,35,21967.95,5,5,5,15,5,Champions
12622,232,1,162.1,2,1,1,4,1,Hibernating
12623,276,7,3315.84,2,4,5,11,4,At Risk
12624,106,2,569.13,3,2,2,7,2,About to Sleep
12625,211,4,4639.28,2,3,5,10,4,At Risk
12626,23,9,5772.69,4,5,5,14,5,Loyal Customers
12627,10,6,4082.53,5,4,5,14,4,Champions
12628,4,3,732.46,5,3,3,11,3,Potential Loyalists
12629,385,2,1198.22,2,2,4,8,3,At Risk
12630,9,2,1030.88,5,2,3,10,2,Potential Loyalists
12631,57,6,3299.07,4,4,5,13,4,Loyal Customers
12632,520,2,684.88,1,2,3,6,2,Hibernating
12633,58,7,5092.91,4,4,5,13,4,Loyal Customers
12634,548,1,360.0,1,1,2,4,2,Hibernating
12635,89,4,2624.41,3,3,4,10,4,Loyal Customers
12637,67,12,8085.8099999999995,3,5,5,13,5,Loyal Customers
12638,33,2,681.49,4,2,3,9,2,Potential Loyalists
12639,238,3,1072.3700000000001,2,3,3,8,3,At Risk
12640,23,3,994.58,4,3,3,10,3,Potential Loyalists
12641,115,1,145.9,3,1,1,5,1,About to Sleep
12642,25,3,905.26,4,3,3,10,3,Potential Loyalists
12643,128,11,7347.82,3,5,5,13,5,Loyal Customers
12644,129,4,1838.94,3,3,4,10,4,Loyal Customers
12645,33,8,3185.3,4,4,5,13,4,Loyal Customers
12646,4,2,1346.97,5,2,4,11,3,Potential Loyalists
12647,22,34,14014.25,4,5,5,14,5,Loyal Customers
12648,154,4,1039.0,3,3,3,9,3,Need Attention
12649,107,8,2076.85,3,4,4,11,4,Loyal Customers
12650,3,1,242.44,5,1,1,7,1,New Customers
12651,334,4,377.75,2,3,2,7,2,Hibernating
12652,331,2,891.03,2,2,3,7,2,Hibernating
12653,148,3,4160.83,3,3,5,11,4,Loyal Customers
12654,10,5,529.98,5,4,2,11,3,Potential Loyalists
12655,423,1,243.35000000000002,1,1,1,3,1,Hibernating
12656,17,8,5708.98,5,4,5,14,4,Champions
12657,11,3,1008.06,5,3,3,11,3,Potential Loyalists
12658,18,1,632.05,5,1,3,9,2,Potential Loyalists
12659,29,1,73.67999999999999,4,1,1,6,1,Promising
12660,11,1,227.1,5,1,1,7,1,New Customers
12661,436,1,162.0,1,1,1,3,1,Hibernating
12662,0,20,6097.84,5,5,5,15,5,Champions
12663,624,2,150.0,1,2,1,4,2,Hibernating
12664,8,11,5420.04,5,5,5,15,5,Champions
12665,324,3,259.6,2,3,1,6,2,Hibernating
12666,394,1,1020.98,2,1,3,6,2,Hibernating
12667,58,1,460.13,4,1,2,7,2,Potential Loyalists
12668,11,9,9871.23,5,5,5,15,5,Champions
12669,150,2,1427.73,3,2,4,9,3,Need Attention
12670,10,7,3436.29,5,4,5,14,4,Champions
12671,606,1,2622.48,1,1,4,6,2,Hibernating
12672,329,2,389.2,2,2,2,6,2,Hibernating
12673,5,3,1140.02,5,3,3,11,3,Potential Loyalists
12674,38,4,1814.6,4,3,4,11,4,Loyal Customers
12675,578,1,860.5,1,1,3,5,2,Hibernating
12676,24,10,2333.09,4,5,4,13,4,Loyal Customers
12677,555,2,359.1,1,2,2,5,2,Hibernating
12678,42,15,32442.18,4,5,5,14,5,Loyal Customers
12679,58,4,935.4200000000001,4,3,3,10,3,Potential Loyalists
12680,0,4,790.81,5,3,3,11,3,Potential Loyalists
12681,14,44,26891.16,5,5,5,15,5,Champions
12682,3,51,20736.22,5,5,5,15,5,Champions
12683,4,20,10368.72,5,5,5,15,5,Champions
12684,7,6,2073.63,5,4,4,13,4,Champions
12685,28,6,2575.08,4,4,4,12,4,Loyal Customers
12686,371,1,71.14,2,1,1,4,1,Hibernating
12687,480,1,1858.91,1,1,4,6,2,Hibernating
12688,113,1,4873.8099999999995,3,1,5,9,3,Need Attention
12689,25,2,1139.61,4,2,3,9,2,Potential Loyalists
12690,205,1,335.01,2,1,2,5,2,Hibernating
12691,28,6,1044.4,4,4,3,11,4,Loyal Customers
12692,637,1,110.95,1,1,1,3,1,Hibernating
12693,127,7,1377.37,3,4,4,11,4,Loyal Customers
12694,70,3,1663.35,3,3,4,10,4,Loyal Customers
12695,7,7,1371.1200000000001,5,4,4,13,4,Champions
12696,434,2,731.91,1,2,3,6,2,Hibernating
12697,28,3,757.59,4,3,3,10,3,Potential Loyalists
12698,590,1,285.75,1,1,2,4,2,Hibernating
12699,417,1,566.11,1,1,2,4,2,Hibernating
12700,7,4,4525.99,5,3,5,13,4,Champions
12701,79,6,2248.41,3,4,4,11,4,Loyal Customers
12702,19,1,201.0,5,1,1,7,1,New Customers
12703,71,4,813.58,3,3,3,9,3,Need Attention
12704,7,8,1740.84,5,4,4,13,4,Champions
12705,15,13,11034.55,5,5,5,15,5,Champions
12707,291,1,603.42,2,1,3,6,2,Hibernating
12708,29,18,4532.06,4,5,5,14,5,Loyal Customers
12709,15,32,29396.68,5,5,5,15,5,Champions
12710,96,3,1023.02,3,3,3,9,3,Need Attention
12711,611,2,1213.05,1,2,4,7,3,At Risk
12712,28,21,5847.4800000000005,4,5,5,14,5,Loyal Customers
12713,0,1,794.55,5,1,3,9,2,Potential Loyalists
12714,9,12,12815.710000000001,5,5,5,15,5,Champions
12715,106,1,263.36,3,1,1,5,1,About to Sleep
12716,3,2,963.49,5,2,3,10,2,Potential Loyalists
12717,151,3,1058.91,3,3,3,9,3,Need Attention
12718,71,1,202.25,3,1,1,5,1,About to Sleep
12719,5,2,537.55,5,2,2,9,2,Potential Loyalists
12720,2,28,6862.43,5,5,5,15,5,Champions
12721,31,8,3615.18,4,4,5,13,4,Loyal Customers
12722,85,3,899.08,3,3,3,9,3,Need Attention
12723,3,5,707.07,5,4,3,12,4,Champions
12724,5,7,2083.52,5,4,4,13,4,Champions
12725,371,3,1906.76,2,3,4,9,4,At Risk
12726,28,11,3690.6,4,5,5,14,5,Loyal Customers
12727,10,10,4890.53,5,5,5,15,5,Champions
12728,71,5,926.17,3,4,3,10,4,Loyal Customers
12729,113,1,417.01,3,1,2,6,2,About to Sleep
12730,521,1,703.25,1,1,3,5,2,Hibernating
12731,23,17,25540.21,4,5,5,14,5,Loyal Customers
12732,179,1,218.26000000000002,3,1,1,5,1,About to Sleep
12733,234,4,2424.02,2,3,4,9,4,At Risk
12734,352,3,603.65,2,3,3,8,3,At Risk
12735,315,2,689.5699999999999,2,2,3,7,2,Hibernating
12736,332,1,144.0,2,1,1,4,1,Hibernating
12738,372,1,137.35,2,1,1,4,1,Hibernating
12739,99,2,2421.23,3,2,4,9,3,Need Attention
12740,63,1,427.6,3,1,2,6,2,About to Sleep
12741,533,1,236.07,1,1,1,3,1,Hibernating
12742,625,1,1185.02,1,1,3,5,2,Hibernating
12743,134,2,540.13,3,2,2,7,2,About to Sleep
12744,56,8,13158.16,4,4,5,13,4,Loyal Customers
12745,486,2,723.85,1,2,3,6,2,Hibernating
12746,540,1,254.55,1,1,1,3,1,Hibernating
12747,2,26,8866.23,5,5,5,15,5,Champions
12748,0,320,46984.33,5,5,5,15,5,Champions
12749,3,9,6710.11,5,5,5,15,5,Champions
12750,128,1,275.88,3,1,1,5,1,About to Sleep
12751,444,1,268.27,1,1,1,3,1,Hibernating
12752,81,1,4366.78,3,1,5,9,3,Need Attention
12753,22,6,21327.39,4,4,5,13,4,Loyal Customers
12754,235,3,3010.74,2,3,5,10,4,At Risk
12755,280,3,4429.45,2,3,5,10,4,At Risk
12756,86,1,112.08,3,1,1,5,1,About to Sleep
12757,15,9,4161.75,5,5,5,15,5,Champions
12758,116,7,9802.4,3,4,5,12,4,Loyal Customers
12759,52,8,4618.74,4,4,5,13,4,Loyal Customers
12760,455,1,317.8,1,1,2,4,2,Hibernating
12761,464,1,712.95,1,1,3,5,2,Hibernating
12762,7,2,1702.52,5,2,4,11,3,Potential Loyalists
12763,138,2,494.08,3,2,2,7,2,About to Sleep
12764,316,1,1693.88,2,1,4,7,2,Hibernating
12765,472,6,1299.58,1,4,4,9,4,At Risk
12766,3,9,8114.99,5,5,5,15,5,Champions
12767,375,1,949.82,2,1,3,6,2,Hibernating
12769,238,1,1143.6,2,1,3,6,2,Hibernating
12770,210,2,3042.45,2,2,5,9,4,At Risk
12771,485,1,206.5,1,1,1,3,1,Hibernating
12772,59,1,752.47,3,1,3,7,2,About to Sleep
12774,535,1,83.7,1,1,1,3,1,Hibernating
12775,17,7,1516.32,5,4,4,13,4,Champions
12776,667,1,27.5,1,1,1,3,1,Hibernating
12777,457,1,519.45,1,1,2,4,2,Hibernating
12778,19,9,1541.68,5,5,4,14,4,Champions
12779,37,12,6225.71,4,5,5,14,5,Loyal Customers
12780,598,1,322.4,1,1,2,4,2,Hibernating
12781,63,2,750.98,3,2,3,8,2,About to Sleep
12782,4,10,3799.94,5,5,5,15,5,Champions
12783,2,4,1295.87,5,3,4,12,4,Champions
12784,15,2,1511.15,5,2,4,11,3,Potential Loyalists
12785,364,3,889.55,2,3,3,8,3,At Risk
12786,609,1,668.5,1,1,3,5,2,Hibernating
12787,9,4,799.18,5,3,3,11,3,Potential Loyalists
12788,463,4,384.90000000000003,1,3,2,6,2,Hibernating
12789,65,3,225.35,3,3,1,7,2,About to Sleep
12790,192,2,526.95,2,2,2,6,2,Hibernating
12791,373,5,656.8299999999999,2,4,3,9,4,At Risk
12792,256,2,715.01,2,2,3,7,2,Hibernating
12793,334,3,745.53,2,3,3,8,3,At Risk
12794,53,2,860.41,4,2,3,9,2,Potential Loyalists
12795,18,1,318.48,5,1,2,8,2,Potential Loyalists
12796,628,1,351.0,1,1,2,4,2,Hibernating
12797,365,2,393.38,2,2,2,6,2,Hibernating
12798,10,4,8510.93,5,3,5,13,4,Champions
12799,529,1,219.35,1,1,1,3,1,Hibernating
12800,470,2,500.25,1,2,2,5,2,Hibernating
12801,500,1,871.8199999999999,1,1,3,5,2,Hibernating
12802,186,5,2120.42,3,4,4,11,4,Loyal Customers
12803,393,1,1017.81,2,1,3,6,2,Hibernating
12804,465,2,325.37,1,2,2,5,2,Hibernating
12805,381,4,1230.95,2,3,4,9,4,At Risk
12806,572,2,2558.96,1,2,4,7,3,At Risk
12807,383,1,250.35,2,1,1,4,1,Hibernating
12808,36,5,748.7,4,4,3,11,4,Loyal Customers
12809,177,3,1368.44,3,3,4,10,4,Loyal Customers
12810,534,2,534.99,1,2,2,5,2,Hibernating
12811,261,4,893.9,2,3,3,8,3,At Risk
12812,44,1,229.64000000000001,4,1,1,6,1,Promising
12813,501,3,1621.8,1,3,4,8,4,At Risk
12814,101,1,85.92,3,1,1,5,1,About to Sleep
12815,147,2,863.46,3,2,3,8,2,About to Sleep
12816,95,2,452.2,3,2,2,7,2,About to Sleep
12817,281,3,570.98,2,3,2,7,2,Hibernating
12818,261,1,1182.0800000000002,2,1,3,6,2,Hibernating
12819,458,1,540.52,1,1,2,4,2,Hibernating
12820,3,11,2651.24,5,5,4,14,4,Champions
12821,214,2,220.8,2,2,1,5,2,Hibernating
12822,70,2,918.98,3,2,3,8,2,About to Sleep
12823,74,18,6501.5,3,5,5,13,5,Loyal Customers
12824,59,1,397.12,3,1,2,6,2,About to Sleep
12825,521,2,518.63,1,2,2,5,2,Hibernating
12826,2,12,2790.8,5,5,4,14,4,Champions
12827,5,3,430.15,5,3,2,10,2,Potential Loyalists
12828,2,6,1018.71,5,4,3,12,4,Champions
12829,336,3,385.3,2,3,2,7,2,Hibernating
12830,37,6,6814.64,4,4,5,13,4,Loyal Customers
12831,262,3,451.11,2,3,2,7,2,Hibernating
12832,32,2,383.03000000000003,4,2,2,8,2,Potential Loyalists
12833,145,1,417.38,3,1,2,6,2,About to Sleep
12834,282,1,312.38,2,1,2,5,2,Hibernating
12835,427,41,5986.33,1,5,5,11,5,Can't Lose Them
12836,59,15,6559.7300000000005,3,5,5,13,5,Loyal Customers
12837,173,2,662.66,3,2,3,8,2,About to Sleep
12838,33,10,2970.96,4,5,5,14,5,Loyal Customers
12839,2,26,9609.27,5,5,5,15,5,Champions
12840,143,7,4030.27,3,4,5,12,4,Loyal Customers
12841,4,40,6907.67,5,5,5,15,5,Champions
12842,70,4,1917.99,3,3,4,10,4,Loyal Customers
12843,65,28,6289.72,3,5,5,13,5,Loyal Customers
12844,29,4,648.6,4,3,3,10,3,Potential Loyalists
12845,267,4,354.09000000000003,2,3,2,7,2,Hibernating
12847,22,2,1609.0,4,2,4,10,3,Potential Loyalists
12848,675,1,208.0,1,1,1,3,1,Hibernating
12849,31,6,3015.98,4,4,5,13,4,Loyal Customers
12850,445,1,330.0,1,1,2,4,2,Hibernating
